sample	condition	genotype	treatment	color
AC1R1	AC1	A	C1	darkorchid2
AC1R2	AC1	A	C1	darkorchid2
AC1R3	AC1	A	C1	darkorchid2
BC1R1	BC1	B	C1	saddlebrown
BC1R2	BC1	B	C1	saddlebrown
BC1R3	BC1	B	C1	saddlebrown
AC2R1	AC2	A	C2	indianred3
AC2R2	AC2	A	C2	indianred3
AC2R3	AC2	A	C2	indianred3
BC2R1	BC2	B	C2	khaki2
BC2R2	BC2	B	C2	khaki2
BC2R3	BC2	B	C2	khaki2
AC3R1	AC3	A	C3	palegreen4
AC3R2	AC3	A	C3	palegreen4
AC3R3	AC3	A	C3	palegreen4
BC3R1	BC3	B	C3	steelblue3
BC3R2	BC3	B	C3	steelblue3
BC3R3	BC3	B	C3	steelblue3
