Geneid	AC1R1	AC1R2	AC1R3	BC1R1	BC1R2	BC1R3	AC2R1	AC2R2	AC2R3	BC2R1	BC2R2	BC2R3	AC3R1	AC3R2	AC3R3	BC3R1	BC3R2	BC3R3
Gene_000001	0	1	0	0	0	1	1	0	1	1	0	0	2	0	2	0	0	1
Gene_000002	43.5	25.33	31.5	27.5	29.5	29	34.5	32.5	49.83	42.5	21	29.83	44.33	21	35.83	22.67	7	27.5
Gene_000003	8	4	5	30	16	13	20	26	34	27	7	5	20	2	13	12	1	7
Gene_000004	781	412	626	558	538	346	519	370	646	777	467	464	578	310	498	421	167	339
Gene_000005	16	7	13	9	8	6	10	10	13	15	14	8	10	7	15	5	4	13
Gene_000006	9	4	5	21	15	12	12	36	62	11	1	11	24	0	9	6	2	0
Gene_000007	13.83	6	5.33	13.67	10.5	13.33	21.67	31.67	26.5	14.17	3.67	4	42.33	1	17.5	3	2	24
Gene_000008	565.33	338.5	509.83	346.17	350.5	256.33	448.17	340.17	517	460.67	307.17	322	460.33	305	477.5	319.5	161.5	375
Gene_000009	1599	906	1276	1795	1422	1350	1549	1542	2014	1762	841	1079	2050	549	1883	1046	528	1594
Gene_000010	5430	3195	4687	4398	3885	2892	3957	3613	5299	5852	3143	3398	4022	2186	4732	3226	1438	2775
Gene_000011	5827	3114	4921	4337	4019	3243	4098	3574	5593	6253	3330	3754	4424	2108	4773	3441	1443	2590
Gene_000012	41	20	42	30	33	18	35	21	66	38	20	25	58	11	30	24	8	35
Gene_000013	1346	845	1133	1212	1165	929	1086	1237	1774	1633	807	920	1364	576	1655	923	488	1373
Gene_000014	773	529	599	695	544	431	475	706	933	860	355	480	559	329	1028	412	238	447
Gene_000015	311	222	171	190	136	100	172	288	335	239	122	131	132	159	535	121	76	146
Gene_000016	441	291	282	320	295	214	307	396	506	384	166	206	314	151	600	193	137	287
Gene_000017	2685	1515	1759	3860	2751	2119	4382	3658	4894	2947	716	1426	6218	512	4837	1241	657.4	4394
Gene_000018	723	462	588	612	534	425	593	505	701	838	421	442	535	321	676	325	217	485
Gene_000019	385	207	342	451	263	317	308	408	593	627	183	211	452	124	362	185	99	257
Gene_000020	6821	3834	5718	5304	4584	3886	5804	4591	7093	7818	3362	3807	7088.5	2037	6192	3479	1526	3605
