SeqName	Description
Gene_000001	hypothetical protein pbra 009537
Gene_000002	hypothetical protein pbra 009324
Gene_000003	histone-lysine n-methyltransferase nsd2
Gene_000004	hypothetical protein pbra 009496
Gene_000005	hypothetical protein pbra 009495
Gene_000006	cilia- and flagella-associated 57-like
Gene_000007	hypothetical protein pbra 009493
Gene_000008	hypothetical protein pbra 009493
Gene_000009	hypothetical protein pbra 009492
Gene_000010	eukaryotic translation initiation factor 3 subunit a
Gene_000011	eukaryotic translation initiation factor 3 subunit a
Gene_000012	hypothetical protein pbra 002591
Gene_000013	actin-related 2 3 complex subunit 4
Gene_000014	ccr4-not transcription complex subunit 11
Gene_000015	anaphase-promoting complex subunit 4
Gene_000016	pentatricopeptide repeat-containing
Gene_000017	muts homolog 4
Gene_000018	hypothetical protein baucodraft 44240; partial [baudoinia panamericana uamh 10762]
Gene_000019	hypothetical protein pbra 009037
Gene_000020	leukotriene a-4 hydrolase-like
Gene_000021	sporangia induced dynein heavy chain
Gene_000022	hypothetical protein pbra 009034
Gene_000023	hypothetical protein pbra 009033
Gene_000024	alpha beta hydrolase domain-containing 11
Gene_000025	pentatricopeptide repeat-containing at5g43820
Gene_000026	family magnesium ion transporter
Gene_000028	vacuolar sorting-associated 51 homolog
Gene_000029	wd40 repeat
Gene_000030	hypothetical protein pbra 009027; partial
Gene_000031	hypothetical protein pbra 007052; partial
Gene_000032	hypothetical protein pbra 007051
Gene_000033	hypothetical protein pbra 003864
Gene_000034	hypothetical protein pbra 003865
Gene_000035	leucine-rich repeat domain-containing [paraburkholderia piptadeniae]
Gene_000036	glycoside hydrolase family 18
Gene_000037	polycystic kidney disease 2-like 1
Gene_000038	polycystin-2
Gene_000039	hypothetical protein pbra 003858
Gene_000040	dual specificity catalytic domain containing
Gene_000041	heat repeat-containing
Gene_000042	hypothetical protein pbra 003855
Gene_000043	hypothetical protein pbra 003853; partial
Gene_000044	multiple epidermal growth factor-like domains 6
Gene_000045	hypothetical protein pbra 003851; partial
Gene_000046	transcription corepressor
Gene_000047	hypothetical protein pbra 003849
Gene_000048	hypothetical protein pbra 003848
Gene_000049	gdap2 homolog
Gene_000050	s-adenosyl-l-methionine-dependent methyltransferase
Gene_000051	tbc1 domain family member 22b
Gene_000052	centrosomal of 131
Gene_000054	cop9 signalosome complex subunit 2
Gene_000055	hypothetical protein pbra 003842
Gene_000056	transmembrane 201
Gene_000057	hypothetical protein pbra 003840
Gene_000058	ap-5 complex subunit beta-1-like
Gene_000059	hypothetical protein pbra 003838
Gene_000060	hypothetical protein pbra 003837
Gene_000061	rhomboid 13
Gene_000062	2-oxoglutarate and iron-dependent oxygenase domain-containing 3-like
Gene_000063	glutamate-cysteine ligase catalytic subunit
Gene_000064	u2 small nuclear ribonucleo a
Gene_000065	tissue-resident t-cell transcription regulator znf683
Gene_000066	peroxisome assembly factor
Gene_000067	hypothetical protein pbra 003830
Gene_000068	zinc finger 420-like
Gene_000069	adenylate kinase 8-like
Gene_000070	hypothetical protein pbra 003826
Gene_000071	actin binding
Gene_000072	dopa-like domain-containing
Gene_000074	hypothetical protein pbra 009041
Gene_000075	long chain polyunsaturated fatty acid elongation enzyme
Gene_000076	serine threonine kinase
Gene_000077	hypothetical leucine rich repeat
Gene_000078	hypothetical protein pbra 003819
Gene_000079	regulator of nonsense transcripts 2
Gene_000080	zinc finger 236-like
Gene_000081	wd-40 repeat-containing
Gene_000082	hypothetical protein pbra 003814
Gene_000083	pas domain s-box
Gene_000084	delta-6 elongase
Gene_000085	mfs-type transporter slc18b1-like isoform x1
Gene_000086	translation initiation factor eif-2b subunit alpha
Gene_000087	structural maintenance of chromosomes 6-like
Gene_000088	hypothetical protein pbra 003809
Gene_000089	succinate dehydrogenase assembly factor 2 family
Gene_000090	dna damage-inducible 1
Gene_000091	dna damage-inducible 1-like isoform x1
Gene_000092	n-glycosylase dna lyase
Gene_000093	radial spoke head 3 homolog isoform x2
Gene_000094	flavidoxin family
Gene_000095	s-adenosyl-l-methionine-dependent trna 4-demethylwyosine synthase
