Geneid	Chr	Start	End	Strand	Length	AC3R1
Gene_000001	Random_Chr_001	1692	1907	-	215	2
Gene_000002	Random_Chr_001	6641	8705	-	2064	44.33
Gene_000003	Random_Chr_001	9228	9569	-	341	20
Gene_000004	Random_Chr_001	12009	13155	-	1146	578
Gene_000005	Random_Chr_001	15242	15844	+	602	10
Gene_000006	Random_Chr_001	16304	19834	+	3530	24
Gene_000007	Random_Chr_001	20595	21625	-	1030	42.33
Gene_000008	Random_Chr_001	22377	23461	-	1084	460.33
Gene_000009	Random_Chr_001	24874	25862	+	988	2050
Gene_000010	Random_Chr_001	26018	27738	-	1720	4022
Gene_000011	Random_Chr_001	27740	29401	-	1661	4424
Gene_000012	Random_Chr_001	29656	31083	-	1427	58
Gene_000013	Random_Chr_001	31859	32688	-	829	1364
Gene_000014	Random_Chr_001	33181	34518	+	1337	559
Gene_000015	Random_Chr_001	34708	36744	+	2036	132
Gene_000016	Random_Chr_001	36943	39045	-	2102	314
Gene_000017	Random_Chr_001	39047	42751	-	3704	6218
Gene_000018	Random_Chr_001	42970	43290	-	320	535
Gene_000019	Random_Chr_001	45662	46444	-	782	452
Gene_000020	Random_Chr_001	47884	50085	+	2201	7088.5
Gene_000021	Random_Chr_001	50246	64149	+	13903	932
Gene_000022	Random_Chr_001	64361	65113	+	752	251
Gene_000023	Random_Chr_001	65398	66848	-	1450	1806
Gene_000024	Random_Chr_001	67394	68503	-	1109	869
Gene_000025	Random_Chr_001	68584	70850	-	2266	1732
Gene_000026	Random_Chr_001	71342	73170	+	1828	1603
Gene_000027	Random_Chr_001	73296	74719	+	1423	1486
Gene_000028	Random_Chr_001	74913	77748	+	2835	3030
Gene_000029	Random_Chr_001	77835	78709	-	874	278
Gene_000030	Random_Chr_001	78935	79168	-	233	10
Gene_000031	Random_Chr_001	79906	81901	+	1995	880.42
Gene_000032	Random_Chr_001	81903	84707	+	2804	1315.83
Gene_000033	Random_Chr_001	85316	88601	-	3285	8095
Gene_000034	Random_Chr_001	88973	89710	+	737	700
Gene_000035	Random_Chr_001	89954	91417	+	1463	525
Gene_000036	Random_Chr_001	91524	93068	-	1544	23
Gene_000037	Random_Chr_001	94130	96020	-	1890	85
Gene_000038	Random_Chr_001	96073	98097	+	2024	12
Gene_000039	Random_Chr_001	98229	99653	+	1424	3
Gene_000040	Random_Chr_001	99760	105865	-	6105	8
Gene_000041	Random_Chr_001	105978	110927	-	4949	1521
Gene_000042	Random_Chr_001	113036	114766	+	1730	1601
Gene_000043	Random_Chr_001	116367	116927	+	560	152
Gene_000044	Random_Chr_001	117605	129803	+	12198	205
Gene_000045	Random_Chr_001	129867	130398	-	531	14
Gene_000046	Random_Chr_001	130468	130890	-	422	842
Gene_000047	Random_Chr_001	130972	133529	+	2557	2577.67
Gene_000048	Random_Chr_001	134259	134498	-	239	1
Gene_000049	Random_Chr_001	135874	137578	-	1704	45
Gene_000050	Random_Chr_001	137774	138502	+	728	511
Gene_000051	Random_Chr_001	138533	140065	-	1532	2530
Gene_000052	Random_Chr_001	140259	142037	+	1778	32
Gene_000053	Random_Chr_001	142201	143058	+	857	0
Gene_000054	Random_Chr_001	143295	145024	+	1729	2549
Gene_000055	Random_Chr_001	145078	146352	-	1274	286
Gene_000056	Random_Chr_001	146683	148113	+	1430	782
Gene_000057	Random_Chr_001	148500	148724	-	224	13
Gene_000058	Random_Chr_001	148852	151800	+	2948	389
Gene_000059	Random_Chr_001	151853	152366	-	513	953
Gene_000060	Random_Chr_001	152456	152923	-	467	508
Gene_000061	Random_Chr_001	153220	154284	+	1064	955
Gene_000062	Random_Chr_001	154352	155199	+	847	1044
Gene_000063	Random_Chr_001	155211	157972	-	2761	3257
Gene_000064	Random_Chr_001	158429	159357	+	928	2861
Gene_000065	Random_Chr_001	159477	160097	+	620	3
Gene_000066	Random_Chr_001	164318	166916	+	2598	1401
Gene_000067	Random_Chr_001	166994	167545	-	551	460
Gene_000068	Random_Chr_001	167707	168566	-	859	50
Gene_000069	Random_Chr_001	168674	170376	-	1702	11
Gene_000070	Random_Chr_001	170669	172155	-	1486	3
Gene_000071	Random_Chr_001	172517	174105	+	1588	413
Gene_000072	Random_Chr_001	174572	175218	-	646	153
Gene_000073	Random_Chr_001	176786	182116	-	5330	59
Gene_000074	Random_Chr_001	182659	185909	+	3250	241
Gene_000075	Random_Chr_001	186135	186913	+	778	533
Gene_000076	Random_Chr_001	189860	191292	-	1432	1658
Gene_000077	Random_Chr_001	191777	192737	+	960	144
Gene_000078	Random_Chr_001	192810	193064	+	254	40
Gene_000079	Random_Chr_001	193383	196901	+	3518	3497
Gene_000080	Random_Chr_001	197125	197535	-	410	196
Gene_000081	Random_Chr_001	197635	199300	-	1665	42
Gene_000082	Random_Chr_001	199383	201124	-	1741	607
Gene_000083	Random_Chr_001	201614	204116	-	2502	692
Gene_000084	Random_Chr_001	204745	205981	-	1236	14397
Gene_000085	Random_Chr_001	206359	208065	+	1706	1412
Gene_000086	Random_Chr_001	208156	209561	+	1405	1675
Gene_000087	Random_Chr_001	209580	214213	-	4633	7163
Gene_000088	Random_Chr_001	214429	214654	-	225	111
Gene_000089	Random_Chr_001	214853	215191	+	338	243
Gene_000090	Random_Chr_001	215248	216439	-	1191	856
Gene_000091	Random_Chr_001	216709	216981	-	272	245
Gene_000092	Random_Chr_001	217415	218648	+	1233	998
Gene_000093	Random_Chr_001	218937	219707	-	770	90
Gene_000094	Random_Chr_001	220151	221206	+	1055	808
Gene_000095	Random_Chr_001	221208	222571	+	1363	1558
Gene_000096	Random_Chr_001	222573	223050	-	477	1250
Gene_000097	Random_Chr_001	223781	224560	+	779	185
Gene_000098	Random_Chr_001	224566	231199	-	6633	4305
Gene_000099	Random_Chr_001	232008	233172	+	1164	1857
Gene_000100	Random_Chr_001	233174	235084	-	1910	11915
Gene_000101	Random_Chr_001	235266	236745	-	1479	394
Gene_000102	Random_Chr_001	236915	239007	-	2092	463
Gene_000103	Random_Chr_001	239286	242990	-	3704	5033
Gene_000104	Random_Chr_001	244045	244422	-	377	15.5
Gene_000105	Random_Chr_001	244574	245253	+	679	194.5
Gene_000106	Random_Chr_001	245573	248976	+	3403	2256
Gene_000107	Random_Chr_001	249014	250434	-	1420	1242
Gene_000108	Random_Chr_001	250528	251998	+	1470	903
Gene_000109	Random_Chr_001	252021	255047	-	3026	69
Gene_000110	Random_Chr_001	255144	257351	-	2207	1262
Gene_000111	Random_Chr_001	259507	260811	+	1304	273
Gene_000112	Random_Chr_001	260955	262078	-	1123	582
Gene_000113	Random_Chr_001	262258	264984	+	2726	1814
Gene_000114	Random_Chr_001	265696	266430	+	734	706
