Geneid	Chr	Start	End	Strand	Length	BC3R3
Gene_000001	Random_chr_001	1692	1907	-	215	1
Gene_000002	Random_chr_001	6641	8705	-	2064	27.5
Gene_000003	Random_chr_001	9228	9569	-	341	7
Gene_000004	Random_chr_001	12009	13155	-	1146	339
Gene_000005	Random_chr_001	15242	15844	+	602	13
Gene_000006	Random_chr_001	16304	19834	+	3530	0
Gene_000007	Random_chr_001	20595	21625	-	1030	24
Gene_000008	Random_chr_001	22377	23461	-	1084	375
Gene_000009	Random_chr_001	24874	25862	+	988	1594
Gene_000010	Random_chr_001	26018	27738	-	1720	2775
Gene_000011	Random_chr_001	27740	29401	-	1661	2590
Gene_000012	Random_chr_001	29656	31083	-	1427	35
Gene_000013	Random_chr_001	31859	32688	-	829	1373
Gene_000014	Random_chr_001	33181	34518	+	1337	447
Gene_000015	Random_chr_001	34708	36744	+	2036	146
Gene_000016	Random_chr_001	36943	39045	-	2102	287
Gene_000017	Random_chr_001	39047	42751	-	3704	4394
Gene_000018	Random_chr_001	42970	43290	-	320	485
Gene_000019	Random_chr_001	45662	46444	-	782	257
Gene_000020	Random_chr_001	47884	50085	+	2201	3605
Gene_000021	Random_chr_001	50246	64149	+	13903	895
Gene_000022	Random_chr_001	64361	65113	+	752	117
Gene_000023	Random_chr_001	65398	66848	-	1450	1419
Gene_000024	Random_chr_001	67394	68503	-	1109	754
Gene_000025	Random_chr_001	68584	70850	-	2266	1721
Gene_000026	Random_chr_001	71342	73170	+	1828	949
Gene_000027	Random_chr_001	73296	74719	+	1423	1167
Gene_000028	Random_chr_001	74913	77748	+	2835	2101
Gene_000029	Random_chr_001	77835	78709	-	874	184
Gene_000030	Random_chr_001	78935	79168	-	233	4
Gene_000031	Random_chr_001	79906	81901	+	1995	407.1
Gene_000032	Random_chr_001	81903	84707	+	2804	714.65
Gene_000033	Random_chr_001	85316	88601	-	3285	4803
Gene_000034	Random_chr_001	88973	89710	+	737	751
Gene_000035	Random_chr_001	89954	91417	+	1463	311
Gene_000036	Random_chr_001	91524	93068	-	1544	7
Gene_000037	Random_chr_001	94130	96020	-	1890	29
Gene_000038	Random_chr_001	96073	98097	+	2024	14
Gene_000039	Random_chr_001	98229	99653	+	1424	0
Gene_000040	Random_chr_001	99760	105865	-	6105	11
Gene_000041	Random_chr_001	105978	110927	-	4949	1204
Gene_000042	Random_chr_001	113036	114766	+	1730	1052
Gene_000043	Random_chr_001	116367	116927	+	560	29
Gene_000044	Random_chr_001	117605	129803	+	12198	170
Gene_000045	Random_chr_001	129867	130398	-	531	9
Gene_000046	Random_chr_001	130468	130890	-	422	858
Gene_000047	Random_chr_001	130972	133529	+	2557	1695
Gene_000048	Random_chr_001	134259	134498	-	239	1
Gene_000049	Random_chr_001	135874	137578	-	1704	23
Gene_000050	Random_chr_001	137774	138502	+	728	297
Gene_000051	Random_chr_001	138533	140065	-	1532	1951
Gene_000052	Random_chr_001	140259	142037	+	1778	34
Gene_000053	Random_chr_001	142201	143058	+	857	0
Gene_000054	Random_chr_001	143295	145024	+	1729	1728
Gene_000055	Random_chr_001	145078	146352	-	1274	136
Gene_000056	Random_chr_001	146683	148113	+	1430	523
Gene_000057	Random_chr_001	148500	148724	-	224	6
Gene_000058	Random_chr_001	148852	151800	+	2948	204
Gene_000059	Random_chr_001	151853	152366	-	513	761
Gene_000060	Random_chr_001	152456	152923	-	467	425
Gene_000061	Random_chr_001	153220	154284	+	1064	538
Gene_000062	Random_chr_001	154352	155199	+	847	726
Gene_000063	Random_chr_001	155211	157972	-	2761	1275
Gene_000064	Random_chr_001	158429	159357	+	928	2142
Gene_000065	Random_chr_001	159477	160097	+	620	2
Gene_000066	Random_chr_001	164318	166916	+	2598	785
Gene_000067	Random_chr_001	166994	167545	-	551	313
