Geneid	Chr	Start	End	Strand	Length	AC2R1
Gene_000001	Random_Chr_001	1692	1907	-	215	1
Gene_000002	Random_Chr_001	6641	8705	-	2064	34.5
Gene_000003	Random_Chr_001	9228	9569	-	341	20
Gene_000004	Random_Chr_001	12009	13155	-	1146	519
Gene_000005	Random_Chr_001	15242	15844	+	602	10
Gene_000006	Random_Chr_001	16304	19834	+	3530	12
Gene_000007	Random_Chr_001	20595	21625	-	1030	21.67
Gene_000008	Random_Chr_001	22377	23461	-	1084	448.17
Gene_000009	Random_Chr_001	24874	25862	+	988	1549
Gene_000010	Random_Chr_001	26018	27738	-	1720	3957
Gene_000011	Random_Chr_001	27740	29401	-	1661	4098
Gene_000012	Random_Chr_001	29656	31083	-	1427	35
Gene_000013	Random_Chr_001	31859	32688	-	829	1086
Gene_000014	Random_Chr_001	33181	34518	+	1337	475
Gene_000015	Random_Chr_001	34708	36744	+	2036	172
Gene_000016	Random_Chr_001	36943	39045	-	2102	307
Gene_000017	Random_Chr_001	39047	42751	-	3704	4382
Gene_000018	Random_Chr_001	42970	43290	-	320	593
Gene_000019	Random_Chr_001	45662	46444	-	782	308
Gene_000020	Random_Chr_001	47884	50085	+	2201	5804
Gene_000021	Random_Chr_001	50246	64149	+	13903	939
Gene_000022	Random_Chr_001	64361	65113	+	752	206
Gene_000023	Random_Chr_001	65398	66848	-	1450	1527
Gene_000024	Random_Chr_001	67394	68503	-	1109	905
Gene_000025	Random_Chr_001	68584	70850	-	2266	1556
Gene_000026	Random_Chr_001	71342	73170	+	1828	1236
Gene_000027	Random_Chr_001	73296	74719	+	1423	1238
Gene_000028	Random_Chr_001	74913	77748	+	2835	2477
Gene_000029	Random_Chr_001	77835	78709	-	874	180
Gene_000030	Random_Chr_001	78935	79168	-	233	7
Gene_000031	Random_Chr_001	79906	81901	+	1995	730.23
Gene_000032	Random_Chr_001	81903	84707	+	2804	1076.23
Gene_000033	Random_Chr_001	85316	88601	-	3285	5498
Gene_000034	Random_Chr_001	88973	89710	+	737	629
Gene_000035	Random_Chr_001	89954	91417	+	1463	424
Gene_000036	Random_Chr_001	91524	93068	-	1544	15
Gene_000037	Random_Chr_001	94130	96020	-	1890	55
Gene_000038	Random_Chr_001	96073	98097	+	2024	11
Gene_000039	Random_Chr_001	98229	99653	+	1424	1
Gene_000040	Random_Chr_001	99760	105865	-	6105	12
Gene_000041	Random_Chr_001	105978	110927	-	4949	1535
Gene_000042	Random_Chr_001	113036	114766	+	1730	1222
Gene_000043	Random_Chr_001	116367	116927	+	560	95
Gene_000044	Random_Chr_001	117605	129803	+	12198	188
Gene_000045	Random_Chr_001	129867	130398	-	531	23
Gene_000046	Random_Chr_001	130468	130890	-	422	804
Gene_000047	Random_Chr_001	130972	133529	+	2557	1710
Gene_000048	Random_Chr_001	134259	134498	-	239	0
Gene_000049	Random_Chr_001	135874	137578	-	1704	46
Gene_000050	Random_Chr_001	137774	138502	+	728	398
Gene_000051	Random_Chr_001	138533	140065	-	1532	2007
Gene_000052	Random_Chr_001	140259	142037	+	1778	26
Gene_000053	Random_Chr_001	142201	143058	+	857	0
Gene_000054	Random_Chr_001	143295	145024	+	1729	2052.5
Gene_000055	Random_Chr_001	145078	146352	-	1274	232
Gene_000056	Random_Chr_001	146683	148113	+	1430	659
Gene_000057	Random_Chr_001	148500	148724	-	224	7
Gene_000058	Random_Chr_001	148852	151800	+	2948	256
Gene_000059	Random_Chr_001	151853	152366	-	513	776
Gene_000060	Random_Chr_001	152456	152923	-	467	553
Gene_000061	Random_Chr_001	153220	154284	+	1064	828
Gene_000062	Random_Chr_001	154352	155199	+	847	952
Gene_000063	Random_Chr_001	155211	157972	-	2761	2201
Gene_000064	Random_Chr_001	158429	159357	+	928	2527
Gene_000065	Random_Chr_001	159477	160097	+	620	6
Gene_000066	Random_Chr_001	164318	166916	+	2598	1143
Gene_000067	Random_Chr_001	166994	167545	-	551	386
Gene_000068	Random_Chr_001	167707	168566	-	859	55
Gene_000069	Random_Chr_001	168674	170376	-	1702	6
Gene_000070	Random_Chr_001	170669	172155	-	1486	1
Gene_000071	Random_Chr_001	172517	174105	+	1588	266
Gene_000072	Random_Chr_001	174572	175218	-	646	128
Gene_000073	Random_Chr_001	176786	182116	-	5330	76
Gene_000074	Random_Chr_001	182659	185909	+	3250	219
Gene_000075	Random_Chr_001	186135	186913	+	778	452
Gene_000076	Random_Chr_001	189860	191292	-	1432	1420
Gene_000077	Random_Chr_001	191777	192737	+	960	140
Gene_000078	Random_Chr_001	192810	193064	+	254	38
Gene_000079	Random_Chr_001	193383	196901	+	3518	3030
Gene_000080	Random_Chr_001	197125	197535	-	410	114
Gene_000081	Random_Chr_001	197635	199300	-	1665	33
Gene_000082	Random_Chr_001	199383	201124	-	1741	521
Gene_000083	Random_Chr_001	201614	204116	-	2502	593
Gene_000084	Random_Chr_001	204745	205981	-	1236	13907.5
Gene_000085	Random_Chr_001	206359	208065	+	1706	1107
Gene_000086	Random_Chr_001	208156	209561	+	1405	1470
Gene_000087	Random_Chr_001	209580	214213	-	4633	6196
Gene_000088	Random_Chr_001	214429	214654	-	225	120
Gene_000089	Random_Chr_001	214853	215191	+	338	230
Gene_000090	Random_Chr_001	215248	216439	-	1191	515
Gene_000091	Random_Chr_001	216709	216981	-	272	158
Gene_000092	Random_Chr_001	217415	218648	+	1233	840
Gene_000093	Random_Chr_001	218937	219707	-	770	66
Gene_000094	Random_Chr_001	220151	221206	+	1055	726
Gene_000095	Random_Chr_001	221208	222571	+	1363	1266
Gene_000096	Random_Chr_001	222573	223050	-	477	1015
Gene_000097	Random_Chr_001	223781	224560	+	779	174
Gene_000098	Random_Chr_001	224566	231199	-	6633	3490
Gene_000099	Random_Chr_001	232008	233172	+	1164	1553
Gene_000100	Random_Chr_001	233174	235084	-	1910	10842
Gene_000101	Random_Chr_001	235266	236745	-	1479	228
Gene_000102	Random_Chr_001	236915	239007	-	2092	312
Gene_000103	Random_Chr_001	239286	242990	-	3704	4638
Gene_000104	Random_Chr_001	244045	244422	-	377	14
Gene_000105	Random_Chr_001	244574	245253	+	679	190
Gene_000106	Random_Chr_001	245573	248976	+	3403	2174
Gene_000107	Random_Chr_001	249014	250434	-	1420	1005
Gene_000108	Random_Chr_001	250528	251998	+	1470	770
Gene_000109	Random_Chr_001	252021	255047	-	3026	60
Gene_000110	Random_Chr_001	255144	257351	-	2207	1030
Gene_000111	Random_Chr_001	259507	260811	+	1304	169
Gene_000112	Random_Chr_001	260955	262078	-	1123	339
Gene_000113	Random_Chr_001	262258	264984	+	2726	1530
Gene_000114	Random_Chr_001	265696	266430	+	734	611
Gene_000115	Random_Chr_001	270785	271015	+	230	126.5
Gene_000116	Random_Chr_001	271958	272187	-	229	56.5
Gene_000117	Random_Chr_001	272744	273580	+	836	3
Gene_000118	Random_Chr_001	273954	275603	-	1649	38
Gene_000119	Random_Chr_001	276167	278179	+	2012	142
Gene_000120	Random_Chr_001	278583	280471	-	1888	1417
Gene_000121	Random_Chr_001	280564	280845	-	281	6
Gene_000122	Random_Chr_001	281054	281602	+	548	119
Gene_000123	Random_Chr_001	281826	282032	-	206	1
Gene_000124	Random_Chr_001	282393	283044	-	651	0
Gene_000125	Random_Chr_001	283630	284951	+	1321	20
Gene_000126	Random_Chr_001	285060	286760	-	1700	38
Gene_000127	Random_Chr_001	286762	288458	-	1696	2317
Gene_000128	Random_Chr_001	288506	290594	+	2088	1819
Gene_000129	Random_Chr_001	290596	291378	-	782	5
Gene_000130	Random_Chr_001	291822	293878	+	2056	5
Gene_000131	Random_Chr_001	294835	296214	-	1379	3522
Gene_000132	Random_Chr_001	296654	298008	+	1354	3729
Gene_000133	Random_Chr_001	298354	299360	+	1006	0
Gene_000134	Random_Chr_001	299438	300873	-	1435	572
Gene_000135	Random_Chr_001	301368	304336	+	2968	735
Gene_000136	Random_Chr_001	304398	305695	+	1297	426
Gene_000137	Random_Chr_001	306033	308737	-	2704	450
Gene_000138	Random_Chr_001	309281	310003	+	722	1016
Gene_000139	Random_Chr_001	310068	311554	-	1486	1449
Gene_000140	Random_Chr_001	312163	315049	+	2886	2717
Gene_000141	Random_Chr_001	315239	316165	+	926	3334
Gene_000142	Random_Chr_001	316224	317636	-	1412	494
Gene_000143	Random_Chr_001	317807	319833	+	2026	678
Gene_000144	Random_Chr_001	319941	321821	+	1880	897
Gene_000145	Random_Chr_001	321851	323531	+	1680	896
Gene_000146	Random_Chr_001	324325	325692	+	1367	1315
Gene_000147	Random_Chr_001	325694	328208	+	2514	2410
Gene_000148	Random_Chr_001	328289	329041	+	752	142
Gene_000149	Random_Chr_001	329221	330447	+	1226	216
Gene_000150	Random_Chr_001	330557	331802	-	1245	6
Gene_000151	Random_Chr_001	331939	335906	-	3967	8
Gene_000152	Random_Chr_001	336142	336871	-	729	30
Gene_000153	Random_Chr_001	337744	339306	-	1562	26
Gene_000154	Random_Chr_001	340218	341136	-	918	489
Gene_000155	Random_Chr_001	341739	343545	+	1806	596
Gene_000156	Random_Chr_001	343547	345997	-	2450	56
Gene_000157	Random_Chr_001	346078	346563	-	485	8692
Gene_000158	Random_Chr_001	347565	348347	+	782	367
Gene_000159	Random_Chr_001	348517	348923	+	406	1706
Gene_000160	Random_Chr_001	350365	352473	+	2108	136
Gene_000161	Random_Chr_001	353690	355975	+	2285	112
Gene_000162	Random_Chr_001	356215	356547	+	332	33
Gene_000163	Random_Chr_001	356769	358675	+	1906	10
